Date,I_0,k,z1,one_minus_N,z2,one_minus_V,Ph,T,RT,Z,G,dP_dt,lnPt_minus_lnP0,lnPt,Pt,day
1/1,0.088,0.121,34,1.0,53,0.64,0.034,5.2,0.024,1.3,0.01,0.0,0.0,1.217,3.4,1
1/15,0.094,0.121,34,1.0,53,0.64,0.036,4.1,0.023,1.4,0.011,0.002,0.03,1.247,3.5,15
2/1,0.112,0.124,35,1.0,51,0.69,0.044,3.2,0.021,1.7,0.013,0.01,0.18,1.397,4.0,32
2/15,0.138,0.128,35,1.0,48,0.73,0.055,2.7,0.021,2.6,0.02,0.014,0.39,1.607,5.0,46
3/1,0.174,0.136,35,1.0,45,0.78,0.071,2.4,0.021,4.2,0.031,0.019,0.675,1.897,6.7,60
3/15,0.212,0.145,34,1.0,40,0.85,0.091,2.5,0.021,5.8,0.043,0.027,1.08,2.297,10.0,74
4/1,0.247,0.159,32,1.0,32,1.0,0.12,2.7,0.021,7.5,0.056,0.043,1.725,2.942,19.1,91
4/15,0.272,0.2,26,1.0,23,1.0,0.13,3.4,0.021,8.9,0.067,0.042,2.355,3.572,35.5,105
5/1,0.29,0.205,25,0.95,19,1.0,0.131,4.5,0.024,17.2,0.129,-0.022,2.025,3.242,25.7,121
5/15,0.306,0.17,31,0.92,18,1.0,0.132,5.9,0.026,19.3,0.145,-0.039,1.44,2.657,14.2,135
6/1,0.321,0.17,32,0.9,15,1.0,0.134,7.6,0.03,18.8,0.141,-0.037,0.885,2.102,8.2,152
6/15,0.329,0.17,32,0.88,11,1.0,0.134,9.7,0.035,14.0,0.105,-0.006,0.795,2.012,7.5,166
7/1,0.319,0.17,32,0.82,10,1.0,0.122,11.8,0.038,6.9,0.052,0.032,1.275,2.492,12.1,182
7/15,0.302,0.17,31,0.76,9,1.0,0.108,13.9,0.045,6.2,0.047,0.016,1.515,2.732,15.4,196
8/1,0.284,0.165,32,0.69,9,1.0,0.093,15.5,0.051,6.0,0.045,-0.003,1.47,2.687,14.8,213
8/15,0.267,0.162,32,0.63,10,1.0,0.081,16.3,0.054,5.7,0.043,-0.016,1.23,2.447,11.5,227
9/1,0.25,0.159,32,0.6,11,1.0,0.073,16.6,0.056,5.1,0.038,-0.021,0.915,2.132,8.4,244
9/15,0.23,0.154,33,0.59,13,1.0,0.067,16.4,0.054,4.5,0.034,-0.021,0.6,1.817,6.1,258
10/1,0.204,0.145,34,0.63,16,1.0,0.065,15.5,0.051,3.9,0.029,-0.015,0.375,1.592,4.9,274
10/15,0.174,0.138,34,0.69,20,1.0,0.063,14.2,0.045,3.3,0.025,-0.007,0.27,1.487,4.4,288
11/1,0.144,0.131,35,0.77,27,1.0,0.06,12.4,0.04,3.2,0.024,-0.004,0.21,1.427,4.2,305
11/15,0.115,0.126,35,0.85,37,0.95,0.053,10.5,0.037,2.6,0.02,-0.004,0.15,1.367,3.9,319
12/1,0.094,0.121,34,0.92,45,0.76,0.039,8.5,0.031,2.0,0.015,-0.007,0.045,1.262,3.5,335
12/15,0.086,0.121,33,0.97,50,0.66,0.033,6.7,0.028,1.6,0.012,-0.007,-0.06,1.157,3.2,349
